Whitelist
communication
data analysis
r programming
collaboration
mathematics
python
creative thinking
statistics
nosql
critical thinking
data visualization
visualization
hadoop
problem solving
programming
openrefine
active learning
quantitative analysis
tensorflow
perceptiveness
machine learning
matplotlib
generating hypotheses
debugging
cloudera
judgement
modeling
perl
interpersonal skills
probability
vb
big data
predictive models
data analytics
data manipulation
data wrangling
data science tools
data tools
data mining
analytical methodologies
interpreting data
metrics
modeling data
modeling tools
data visualizations
research
risk modeling
testing hypotheses
pandas
numpy
data cleaning
command line
git
sql
api
computer science
deep learning
nlp
natural language processing
neural networks
data engineering
information systems
azure
ssis
saas
ssrs
tableau
bi
html
css
javascript
etl
designing
hive
mapreduce
pearl
qlikview
spotfire
sas
r
matplotlib
scipy
mongodb
